timestamp,machine_id,sensor_temp,sensor_vib,sensor_pressure,throughput,failure
2025-09-15T02:11:33.148317,MC_001,61.414,0.0631,5.304,98.85,0
2025-09-15T02:21:33.148317,MC_001,61.263,0.0666,5.437,98.44,0
2025-09-15T02:31:33.148317,MC_001,60.909,0.0839,5.539,101.66,0
2025-09-15T02:41:33.148317,MC_001,61.743,0.0712,5.47,99.53,0
2025-09-15T02:51:33.148317,MC_001,61.146,0.0746,5.694,101.48,0
2025-09-15T03:01:33.148317,MC_001,62.036,0.07,5.44,99.89,0
2025-09-15T03:11:33.148317,MC_001,62.633,0.0735,5.553,102.89,0
2025-09-15T03:21:33.148317,MC_001,61.612,0.0663,5.685,100.52,0
2025-09-15T03:31:33.148317,MC_001,62.698,0.0832,5.454,102.21,0
2025-09-15T03:41:33.148317,MC_001,62.188,0.0715,5.57,103.89,0
2025-09-15T03:51:33.148317,MC_001,63.249,0.0775,5.639,103.39,0
2025-09-15T04:01:33.148317,MC_001,62.634,0.0858,5.49,102.94,0
2025-09-15T04:11:33.148317,MC_001,63.386,0.0863,5.51,101.94,0
2025-09-15T04:21:33.148317,MC_001,63.275,0.0834,5.465,102.78,0
2025-09-15T04:31:33.148317,MC_001,63.743,0.09,5.464,102.47,0
2025-09-15T04:41:33.148317,MC_001,64.46,0.0811,5.358,103.48,0
2025-09-15T04:51:33.148317,MC_001,64.436,0.0909,5.525,104.04,0
2025-09-15T05:01:33.148317,MC_001,63.796,0.0868,5.424,103.91,0
2025-09-15T05:11:33.148317,MC_001,64.389,0.0857,5.51,105.05,0
2025-09-15T05:21:33.148317,MC_001,64.827,0.082,5.48,103.72,0
2025-09-15T05:31:33.148317,MC_001,64.428,0.0874,5.542,104.95,0
2025-09-15T05:41:33.148317,MC_001,64.594,0.0953,5.534,104.72,0
2025-09-15T05:51:33.148317,MC_001,65.125,0.0948,5.369,104.45,0
2025-09-15T06:01:33.148317,MC_001,65.32,0.0934,5.492,103.73,0
2025-09-15T06:11:33.148317,MC_001,64.549,0.0911,5.519,105.01,0
2025-09-15T06:21:33.148317,MC_001,65.54,0.0992,5.466,103.7,0
2025-09-15T06:31:33.148317,MC_001,66.175,0.0916,5.485,107.62,0
2025-09-15T06:41:33.148317,MC_001,65.278,0.0958,5.221,103.3,0
2025-09-15T06:51:33.148317,MC_001,65.995,0.0952,5.63,103.63,0
2025-09-15T07:01:33.148317,MC_001,66.311,0.0858,5.386,104.9,0
2025-09-15T07:11:33.148317,MC_001,66.792,0.0999,5.502,104.57,0
2025-09-15T07:21:33.148317,MC_001,65.833,0.1011,5.653,105.45,0
2025-09-15T07:31:33.148317,MC_001,66.046,0.1031,5.609,105.31,0
2025-09-15T07:41:33.148317,MC_001,66.556,0.1018,5.285,103.94,0
2025-09-15T07:51:33.148317,MC_001,65.763,0.1015,5.531,104.03,0
2025-09-15T08:01:33.148317,MC_001,68.276,0.0952,5.294,103.92,0
2025-09-15T08:11:33.148317,MC_001,67.83,0.1021,5.579,106.1,0
2025-09-15T08:21:33.148317,MC_001,66.95,0.1059,5.45,102.87,0
2025-09-15T08:31:33.148317,MC_001,66.934,0.1067,5.366,105.76,0
2025-09-15T08:41:33.148317,MC_001,66.746,0.1012,5.506,106.09,0
2025-09-15T08:51:33.148317,MC_001,66.992,0.1067,5.381,104.77,0
2025-09-15T09:01:33.148317,MC_001,69.073,0.1141,5.307,102.87,0
2025-09-15T09:11:33.148317,MC_001,68.042,0.1125,5.417,102.8,0
2025-09-15T09:21:33.148317,MC_001,67.701,0.1148,5.343,104.95,0
2025-09-15T09:31:33.148317,MC_001,68.218,0.1112,5.528,104.93,0
2025-09-15T09:41:33.148317,MC_001,67.686,0.1178,5.318,104.09,0
2025-09-15T09:51:33.148317,MC_001,68.226,0.1119,5.317,102.25,0
2025-09-15T10:01:33.148317,MC_001,68.06,0.1201,5.322,103.38,0
2025-09-15T10:11:33.148317,MC_001,68.224,0.1092,5.459,101.82,0
2025-09-15T10:21:33.148317,MC_001,68.993,0.1113,5.343,105.35,0
2025-09-15T10:31:33.148317,MC_001,68.299,0.1107,5.538,104.12,0
2025-09-15T10:41:33.148317,MC_001,69.179,0.1117,5.374,103.75,0
2025-09-15T10:51:33.148317,MC_001,69.459,0.1161,5.411,101.6,0
2025-09-15T11:01:33.148317,MC_001,68.627,0.106,5.424,102.24,0
2025-09-15T11:11:33.148317,MC_001,68.817,0.1136,5.367,102.09,0
2025-09-15T11:21:33.148317,MC_001,69.649,0.1094,5.387,102.63,0
2025-09-15T11:31:33.148317,MC_001,68.905,0.1085,5.423,101.25,0
2025-09-15T11:41:33.148317,MC_001,70.015,0.1125,5.39,101.05,0
2025-09-15T11:51:33.148317,MC_001,69.498,0.1128,5.2,101.77,0
2025-09-15T12:01:33.148317,MC_001,69.729,0.108,5.315,99.5,0
2025-09-15T12:11:33.148317,MC_001,70.134,0.1079,5.389,100.84,0
2025-09-15T12:21:33.148317,MC_001,70.429,0.1211,5.438,100.02,0
2025-09-15T12:31:33.148317,MC_001,70.007,0.1151,5.498,99.88,0
2025-09-15T12:41:33.148317,MC_001,69.469,0.1168,5.389,99.55,0
2025-09-15T12:51:33.148317,MC_001,70.708,0.1165,5.344,99.23,0
2025-09-15T13:01:33.148317,MC_001,69.328,0.1129,5.202,98.07,0
2025-09-15T13:11:33.148317,MC_001,69.59,0.1178,5.327,99.55,0
2025-09-15T13:21:33.148317,MC_001,70.032,0.11,5.132,99.1,0
2025-09-15T13:31:33.148317,MC_001,70.327,0.1129,5.093,99.75,0
2025-09-15T13:41:33.148317,MC_001,71.139,0.1089,5.43,98.14,0
2025-09-15T13:51:33.148317,MC_001,68.993,0.1095,5.287,97.1,0
2025-09-15T14:01:33.148317,MC_001,70.683,0.113,5.332,98.7,0
2025-09-15T14:11:33.148317,MC_001,69.949,0.1082,5.443,97.71,0
2025-09-15T14:21:33.148317,MC_001,69.624,0.1216,5.279,98.74,0
2025-09-15T14:31:33.148317,MC_001,69.975,0.1151,5.328,95.46,0
2025-09-15T14:41:33.148317,MC_001,69.99,0.1081,5.359,97.83,0
2025-09-15T14:51:33.148317,MC_001,70.61,0.1073,5.443,94.91,0
2025-09-15T15:01:33.148317,MC_001,69.476,0.1068,5.382,95.04,0
2025-09-15T15:11:33.148317,MC_001,70.226,0.117,5.177,96.15,0
2025-09-15T15:21:33.148317,MC_001,71.189,0.118,5.103,97.02,0
2025-09-15T15:31:33.148317,MC_001,70.452,0.1085,5.43,96.7,0
2025-09-15T15:41:33.148317,MC_001,69.365,0.1152,5.291,96.98,0
2025-09-15T15:51:33.148317,MC_001,71.106,0.1152,5.316,96.18,0
2025-09-15T16:01:33.148317,MC_001,71.045,0.1212,5.284,95.15,0
2025-09-15T16:11:33.148317,MC_001,70.76,0.1093,5.239,95.24,0
2025-09-15T16:21:33.148317,MC_001,71.127,0.1074,5.191,95.22,0
2025-09-15T16:31:33.148317,MC_001,70.24,0.1118,5.281,94.92,0
2025-09-15T16:41:33.148317,MC_001,70.554,0.1118,5.404,95.69,0
2025-09-15T16:51:33.148317,MC_001,70.015,0.1121,5.028,95.79,0
